Deja Vu
Dave Rodgers
154
0,4
1,4.5
H2,5;14
H3,12;4
H4,14;24
H3,26;4
H2,28;4
H1,30;11
0,36
1,36.5
H2,37;5
3,40
2,40.5
H1,41;5
1,44
2,44.5
1,45
H4,45.5;5
3,48.5
2,49
H1,49.5;5
0,52.5
1,53
H2,53.5;5
3,56.5
2,57
H1,57.5;4
1,60
2,60.5
3,61
H4,61.5;5
2,64.5
3,65
H4,65.5;8
0,69.5
1,71
1,72
2,73
4,75
4,75.5
3,76
3,76.5
0,77.5
1,79
1,80
2,81
2,82
4,83.5
4,84
3,84.5
0,85.5
1,87
1,88
2,89
4,91
4,91.5
3,92
3,92.5
0,93.5
1,95
1,96
2,96.5
3,97.5
2,98
2,99
1,101
2,102
0,102.5
1,103.5
1,105
2,106
0,106.5
1,107.5
